UNIDAD;TEMA;AFIRMACION;RESPUESTA
15;COBIT;COBIT no provee beneficios a los Gerentes de las TIC, ya que es una herramienta destinada fundamentalmente a los auditores.;FALSO
15;COBIT;COBIT no sugiere ni medidas ni indicadores sino que se focaliza en procesos generalmente aceptados para realizar un correcto gobierno de las TIC.;FALSO
15;COBIT;COBIT provee beneficios a los Gerentes de TIC, ya que les proporciona un marco adecuado para la toma de decisiones, y los ayuda a definir un plan estratégico.;VERDADERO
15;COBIT;COBIT provee un conjunto de medidas, indicadores y procesos generalmente aceptados para asistir en la tarea de maximizar los beneficios, y realizar un correcto control y gobierno de las TIC.;VERDADERO
15;COBIT;COBIT, u Objetivos de Control para la Información y Tecnologías relacionadas, es un marco de mejores prácticas para el desarrollo de software.;FALSO
15;COBIT;COBIT, u Objetivos de Control para la Información y Tecnologías relacionadas, es un marco de mejores prácticas para el manejo de la tecnología de la información.;VERDADERO
15;COBIT;La principal desventaja de COBIT es que los auditores y gerentes necesitan un profundo conocimiento sobre el marco COBIT para poder aplicarlo a los procesos de la empresa.;VERDADERO
15;COBIT;La principal ventaja de COBIT es que los auditores y gerentes no necesitan un conocimiento profundo sobre el marco COBIT para poder aplicarlo.;FALSO
15;ITIL;"El beneficio principal de ITIL es que permite lograr una correcta alineación de los objetivos de TI con los objetivos estratégicos del negocio convirtiendo los objetivos del negocio en parte del portafolio de servicios de IT.";VERDADERO
15;ITIL;ITIL es un conjunto de prácticas y procesos, destinadas a facilitar la entrega de servicios de tecnologías de la información.;VERDADERO
15;ITIL;ITIL es una metodología destinada a facilitar la entrega de servicios de tecnologías de la información.;FALSO
15;ITIL;ITIL, en la parte estratégica de los servicios, indica cómo establecer un caso de negocio que sirva para las aprobaciones ejecutivas de un proyecto.;VERDADERO
15;ITIL;ITIL, no indica cómo establecer un caso de negocio que sirva para las aprobaciones ejecutivas de un proyecto.;FALSO
15;ITIL;La implementación de ITIL normalmente mejora la comunicación entre TI y las organizaciones a través de un lenguaje común.;VERDADERO
15;ITIL;La implementación de ITIL puede ser un proceso complejo y engorroso, por lo cual deben fijarse objetivos realistas y graduales.;VERDADERO
15;ITIL;La implementación de ITIL, para ser efectiva, no puede parcializarse ya que ITIL y las prácticas asociadas constituyen un todo.;FALSO
15;ITIL;La versión actual de ITIL cubre los 5 procesos propios de la gestión del CIO;FALSO
15;ITIL;La versión actual de ITIL cubre más de 25 procesos propios de la gestión del CIO, y está organizada en 5 libros.;VERDADERO
15;ITIL;La versión actual de ITIL cubre más de 250 procesos propios de la gestión del CIO, y está organizada en 15 libros.;FALSO
15;ITIL;Si bien ITIL permite lograr una correcta alineación de los objetivos de TI con los objetivos estratégicos del negocio, tiene baja injerencia en la constitución del portafolio de servicios de IT.;FALSO
15;ITIL;Una de las desventajas centrales de ITIL es que dificulta la comunicación entre TI y las organizaciones a quienes IT provee sus servicios.;FALSO
17;PLAN DE TIC;El plan de Sistemas de Información y Comunicaciones que desarrolla el CIO no tiene entre sus objetivos la asignación de fondos al área.;FALSO
17;PLAN DE TIC;El plan de Sistemas de Información y Comunicaciones que desarrolla el CIO no tiene entre sus objetivos la asignación de fondos al área.;FALSO
17;PLAN DE TIC;El plan de Sistemas de Información y Comunicaciones que desarrolla el CIO tiene entre sus objetivos principales la maximización del desempeño informático de la organización y la asignación de fondos al área.;VERDADERO
17;PLAN DE TIC;El plan de Sistemas de Información y Comunicaciones que desarrolla el CIO tiene entre sus objetivos principales la maximización del desempeño informático de la organización y la asignación de fondos al área.;VERDADERO
17;PLAN DE TIC;"En una compañía cuyas ventas se realizan 100% vía Internet, el ""upgrade del servidor web"" para mejorar su disponibilidad, es una acción que puede considerarse estratégicamente alineada.";VERDADERO
17;PLAN DE TIC;"En una organización cuya estrategia de negocios descansa sobre ""el liderazgo en costos"", la implantación de un sistema de manejo de flotas para optimizar los recorridos, puede considerarse ""alineada estratégicamente"".";VERDADERO
17;PLAN DE TIC;"En una organización dedicada a la distribución y cuya estrategia de negocios se base en ""liderazgo en costos"", una VPN sobre Internet que le permita a los empleados acceder a los sistemas, puede considerarse ""alineada estratégicamente"".";FALSO
17;PLAN DE TIC;La arquitectura y el plan de las aplicaciones a desplegar debería depender de la infraestructura, ya que la base instalada es determinante.;FALSO
17;PLAN DE TIC;La arquitectura y el plan de las aplicaciones a desplegar no debería depender de la infraestructura, sino ser un determinante de esta última.;VERDADERO
17;PLAN DE TIC;La selección de acciones a ejecutar como parte del Plan de TIC, típicamente demanda de una análisis bidimensional económico-estratégico.;VERDADERO
17;PLAN DE TIC;Las TIC no solo deben alinearse a la estrategia de la organización sino que pueden modificarla. Es allí cuando el área de TIC aporta su mayor valor a la organización.;VERDADERO
18;MEJORES PRÁCTICAS;"Existen diferentes soluciones consideradas las ""mejores prácticas"" según el contexto del que se hable; en lo referente a la Administración, existen mejores prácticas para los diferentes procesos de la cadena de valor.";VERDADERO
18;MEJORES PRÁCTICAS;"La aplicación de las ""mejores prácticas"" minimiza la productividad del recurso humano, maximizando los costos asociados.";FALSO
18;MEJORES PRÁCTICAS;La aplicación de las mejores prácticas asegura un buen equilibrio entre operatividad y control para un dado proceso en una determinada industria o segmento de negocio.;VERDADERO
18;MEJORES PRÁCTICAS;"La implantación de ""las mejores prácticas"" nunca podría afectar negativamente la competitividad de la organización.";FALSO
18;MEJORES PRÁCTICAS;"La implantación de ""las mejores prácticas"" puede en algunos casos destruir elementos centrales de la competitividad de una organización, situación que debe ser cuidadosamente analizada.";VERDADERO
18;MEJORES PRÁCTICAS;Las mejores prácticas son los mejores procesos, o los procedimientos más adecuados para una determinada problemática.;VERDADERO
18;MEJORES PRÁCTICAS;"Una organización que opera con procesos basados en ""las mejores prácticas"" no se ve favorecida a la hora de implantar sistemas informáticos integrados de gestión.";FALSO
18;MEJORES PRÁCTICAS;"Una organización que opera con procesos basados en ""las mejores prácticas"" puede incorporar sistemas informáticos integrados de gestión con menor esfuerzo.";VERDADERO
18;SELECCIÓN DE APLICACIONES;Aproximadamente un 66% de los proyectos de desarrollo de software, se completan dentro los parámetros de funcionalidad, costo y plazos de entrega planeados.;FALSO
18;SELECCIÓN DE APLICACIONES;El TCO es un indicador muy útil para comparar las funcionalidades de dos o más aplicaciones alternativas.;FALSO
18;SELECCIÓN DE APLICACIONES;La construcción de matrices ponderadas es una técnica muy útil a la hora de comparar las características de dos o más aplicaciones alternativas;VERDADERO
18;SELECCIÓN DE APLICACIONES;La decisión de desarrollar una aplicación debe, en general, ser precedida de un análisis de los productos comerciales existentes, y del hecho que ninguno resuelva las funcionalidades críticas requeridas.;VERDADERO
18;SELECCIÓN DE APLICACIONES;La decisión de desarrollar una aplicación no debería supeditarse exclusivamente a un análisis funcional de los productos comerciales existentes, sino que la misma puede ser de tipo estratégica.;VERDADERO
18;SELECCIÓN DE APLICACIONES;La selección de las aplicaciones o programas que mejor se adecuen a las necesidades de la organización, es una responsabilidad exclusiva del CIO.;FALSO
18;SELECCIÓN DE APLICACIONES;La selección de las aplicaciones o programas que mejor se adecuen a las necesidades de la organización, es una responsabilidad primaria pero no exclusiva del CIO.;VERDADERO
18;SELECCIÓN DE APLICACIONES;"Solo un 16% de los proyectos de desarrollo de software, se completan dentro los parámetros de funcionalidad, costo y plazos de entrega planeados; situación que amerita el considerar las alternativas ya desarrolladas existentes.";VERDADERO
18;SELECCIÓN DE PROVEEDORES;"El CIO no debe tener un rol activo en la selección de los posibles proveedores de una solución basada en TIC, ya que ese es el rol primario de ""Compras"".";FALSO
18;SELECCIÓN DE PROVEEDORES;El CIO, o quién este delegue, debe tener un rol activo en la selección de los posibles proveedores de una solución basada en TIC.;VERDADERO
18;SELECCIÓN DE PROVEEDORES;El que un proveedor sea global, no necesariamente significa que la experiencia sea trasladable al ámbito local.;VERDADERO
18;SELECCIÓN DE PROVEEDORES;El que un proveedor sea global, significa que poseerá amplia experiencia trasladable al ámbito local.;FALSO
